Date,District,PD_A,PD_P,PD_Y,MZ_A,MZ_P,MZ_Y,WH_A,WH_P,WH_Y,ML_A,ML_P,ML_Y,BW_A,BW_P,BW_Y,BL_A,BL_P,BL_Y
1979-80,Achham,2450.0,2540.0,1.04,3100.0,4920.0,1.59,2850.0,2600.0,0.91,900.0,1000.0,1.11,0.0,0.0,0.0,550.0,500.0,0.91
1979-80,Arghakhanchi,1900.0,3730.0,1.96,8850.0,11850.0,1.34,810.0,930.0,1.15,1800.0,1850.0,1.03,0.0,0.0,0.0,290.0,260.0,0.9
1979-80,Baglung,2600.0,3710.0,1.43,8720.0,14050.0,1.61,1800.0,2320.0,1.29,1500.0,1450.0,0.97,0.0,0.0,0.0,220.0,220.0,1.0
1979-80,Baitadi,3100.0,3910.0,1.26,2700.0,4510.0,1.67,3450.0,2950.0,0.86,900.0,1060.0,1.18,0.0,0.0,0.0,650.0,520.0,0.8
1979-80,Bajhang,2700.0,4590.0,1.7,1000.0,1550.0,1.55,2300.0,2020.0,0.88,1000.0,1050.0,1.05,0.0,0.0,0.0,700.0,620.0,0.89
1979-80,Bajura,3000.0,5210.0,1.74,800.0,1400.0,1.75,1580.0,1420.0,0.9,970.0,1070.0,1.1,0.0,0.0,0.0,400.0,310.0,0.78
1979-80,Banke,28640.0,26000.0,0.91,5360.0,6030.0,1.12,9000.0,10800.0,1.2,940.0,930.0,0.99,0.0,0.0,0.0,270.0,270.0,1.0
1979-80,Bara,52410.0,106440.0,2.03,140.0,210.0,1.5,19380.0,25190.0,1.3,200.0,190.0,0.95,0.0,0.0,0.0,1250.0,1030.0,0.82
1979-80,Bardiya,26640.0,37930.0,1.42,9490.0,10500.0,1.11,2500.0,3000.0,1.2,500.0,520.0,1.04,0.0,0.0,0.0,20.0,20.0,1.0
1979-80,Bhaktapur,5370.0,17360.0,3.23,1900.0,2660.0,1.4,6400.0,9600.0,1.5,180.0,180.0,1.0,0.0,0.0,0.0,20.0,20.0,1.0
1979-80,Bhojpur,5820.0,10400.0,1.79,9900.0,14080.0,1.42,1350.0,1620.0,1.2,2000.0,2000.0,1.0,0.0,0.0,0.0,50.0,50.0,1.0
1979-80,Chitwan,24840.0,45500.0,1.83,22160.0,32640.0,1.47,11630.0,16280.0,1.4,1000.0,940.0,0.94,0.0,0.0,0.0,150.0,130.0,0.87
1979-80,Dadeldhura,2110.0,1710.0,0.81,3200.0,5290.0,1.65,3920.0,3600.0,0.92,1940.0,2300.0,1.19,0.0,0.0,0.0,300.0,300.0,1.0
1979-80,Dailekh,3400.0,5320.0,1.56,5200.0,8990.0,1.73,2000.0,2000.0,1.0,1500.0,1650.0,1.1,0.0,0.0,0.0,810.0,650.0,0.8
1979-80,Dang,30440.0,36930.0,1.21,20910.0,31060.0,1.49,13000.0,15600.0,1.2,400.0,410.0,1.02,0.0,0.0,0.0,450.0,450.0,1.0
1979-80,Darchula,1380.0,2380.0,1.72,1840.0,3200.0,1.74,1900.0,1520.0,0.8,620.0,710.0,1.15,0.0,0.0,0.0,1800.0,1260.0,0.7
1979-80,Dhading,5600.0,11790.0,2.11,9900.0,13550.0,1.37,1050.0,1050.0,1.0,2020.0,2020.0,1.0,0.0,0.0,0.0,260.0,220.0,0.85
1979-80,Dhankuta,7660.0,16080.0,2.1,12820.0,17950.0,1.4,1590.0,2240.0,1.41,4210.0,3790.0,0.9,0.0,0.0,0.0,60.0,60.0,1.0
1979-80,Dhanusa,54840.0,100930.0,1.84,2980.0,3740.0,1.26,18000.0,20520.0,1.14,2730.0,2530.0,0.93,0.0,0.0,0.0,200.0,170.0,0.85
1979-80,Dolakha,1750.0,3500.0,2.0,3600.0,3670.0,1.02,680.0,780.0,1.15,900.0,600.0,0.67,0.0,0.0,0.0,70.0,60.0,0.86
1979-80,Dolpa,190.0,320.0,1.68,1300.0,1700.0,1.31,800.0,810.0,1.01,650.0,750.0,1.15,0.0,0.0,0.0,500.0,490.0,0.98
1979-80,Doti,5000.0,8570.0,1.71,4500.0,7530.0,1.67,4700.0,4400.0,0.94,1300.0,1390.0,1.07,0.0,0.0,0.0,640.0,640.0,1.0
1979-80,Gorkha,4930.0,7560.0,1.53,5470.0,4840.0,0.88,1410.0,1270.0,0.9,2700.0,2000.0,0.74,0.0,0.0,0.0,250.0,250.0,1.0
1979-80,Gulmi,3150.0,6170.0,1.96,9170.0,14670.0,1.6,1360.0,1500.0,1.1,1800.0,1990.0,1.11,0.0,0.0,0.0,450.0,410.0,0.91
1979-80,Humla,230.0,360.0,1.57,600.0,1000.0,1.67,500.0,450.0,0.9,700.0,720.0,1.03,0.0,0.0,0.0,650.0,530.0,0.82
1979-80,Ilam,7500.0,18700.0,2.49,6300.0,8100.0,1.29,1730.0,2400.0,1.39,2430.0,2840.0,1.17,0.0,0.0,0.0,50.0,50.0,1.0
1979-80,Jajarkot,2800.0,5040.0,1.8,5300.0,9280.0,1.75,1500.0,1800.0,1.2,1300.0,1400.0,1.08,0.0,0.0,0.0,650.0,520.0,0.8
1979-80,Jhapa,87070.0,148020.0,1.7,2980.0,4170.0,1.4,6000.0,6600.0,1.1,990.0,820.0,0.83,0.0,0.0,0.0,50.0,50.0,1.0
1979-80,Jumla,1350.0,2340.0,1.73,840.0,1390.0,1.65,1000.0,1050.0,1.05,1300.0,1140.0,0.88,0.0,0.0,0.0,1100.0,1090.0,0.99
1979-80,Kailali,42010.0,32670.0,0.78,11150.0,16730.0,1.5,7000.0,8210.0,1.17,1400.0,1340.0,0.96,0.0,0.0,0.0,30.0,30.0,1.0
