District,lat,lon,ph,organic_matter_pct,total_nitrogen_pct,p2o5_kgha,potassium_kgha,zinc_ppm,boron_ppm,sand_pct,clay_pct,silt_pct,parent_soil
Bhojpur,27.1706,87.046,6.06,3.53,0.14,162.03,381.37,1.56,0.92,43.98,12.65,48.37,"slate, phyllite"
Ilam,26.9117,87.9255,6.16,3.12,0.14,178.46,391.59,0.9,1.56,50.0,12.12,38.62,"slate, phyllite"
Jhapa,26.6382,87.8963,6.05,3.58,0.19,24.98,367.97,0.84,0.61,45.34,18.51,34.48,Fluvial non calcareous
Khotang,27.1996,86.7865,6.0,3.87,0.19,135.72,597.81,1.49,1.11,47.46,13.08,40.29,"slate, phyllite"
Morang,26.6521,87.3556,6.84,2.01,0.09,24.64,205.79,0.68,0.59,30.19,7.89,64.22,Fluvial non calcareous
Sunsari,26.6586,87.1691,6.15,1.68,0.09,47.55,221.05,1.31,1.07,29.62,18.36,50.37,Fluvial non calcareous
Bara,27.0371,85.0118,7.14,1.98,0.1,27.29,154.4,0.86,1.07,34.8,23.53,42.63,Fluvial non calcareous
Mahottari,26.9204,85.8016,5.98,1.92,0.1,48.33,100.0,0.42,1.14,51.68,10.7,36.21,Fluvial non calcareous
Parsa,27.1726,84.8879,5.91,1.39,0.09,30.57,116.16,0.31,0.85,45.45,12.74,40.97,Fluvial non calcareous
Rautahat,26.9632,85.3218,7.76,1.51,0.08,38.58,104.03,0.29,0.15,29.49,35.11,30.46,Fluvial non calcareous
Saptari,26.5861,86.7454,5.89,1.3,0.07,32.47,182.57,1.15,0.77,44.08,17.38,39.04,Fluvial non calcareous
Sarlahi,26.9682,85.5601,7.04,2.02,0.11,44.34,155.1,0.58,0.98,42.9,18.24,38.8,Fluvial non calcareous
Dhading,27.8687,84.8988,6.04,3.29,0.25,58.88,174.85,1.49,1.14,33.46,27.36,41.09,Quartzite
Ramechhap,27.3276,86.088,6.02,3.01,0.14,77.55,264.7,1.45,1.06,39.84,14.39,45.25,"slate, phyllite"
Sindhuli,27.2514,85.9721,5.88,3.04,0.11,56.9,280.45,1.37,1.07,38.83,11.39,48.71,Quartzite
Baglung,28.2713,83.59,5.76,3.01,0.16,109.53,245.88,1.91,0.33,34.95,13.9,48.47,Quartzite
Syangja,28.0963,83.8767,6.04,3.03,0.15,89.47,227.31,1.84,0.73,38.54,14.9,48.71,"slate, phyllite"
Tanahu,27.9868,84.2825,5.89,2.41,0.16,36.59,231.41,1.48,0.97,40.93,15.65,44.91,Quartzite
Arghakhanchi,27.9731,83.0805,6.41,2.87,0.12,141.28,430.87,1.97,0.78,49.98,11.8,37.33,Quartzite
Banke,28.1189,81.6703,6.7,3.21,0.17,208.49,181.63,0.67,0.14,38.56,28.24,32.1,Fluvial non calcareous
Dang,28.0469,82.3831,6.56,1.83,0.09,148.26,556.22,0.75,0.95,44.03,21.71,37.78,"Lacustrine, non calcareous"
Gulmi,28.07,83.25,6.41,2.87,0.13,174.56,255.83,1.87,0.87,38.33,10.66,53.32,"slate, phyllite"
Kapilvastu,27.5516,83.0506,7.09,1.85,0.1,74.53,206.85,0.19,5.42,27.03,16.01,58.11,Fluvial non calcareous
Palpa,27.8644,83.5484,6.62,3.18,0.15,105.39,282.45,2.11,0.78,42.32,13.46,41.93,"slate, phyllite"
Dolpa,28.9868,82.8872,6.74,4.56,0.25,177.07,481.43,1.75,0.3,56.03,12.27,31.09,"Gneiss, migmatite"
Kalikot,29.1417,81.6186,6.22,3.01,0.15,40.26,444.19,1.4,0.89,65.54,10.22,25.49,"Gneiss, migmatite"
Salyan,28.3732,82.1601,6.45,2.94,0.13,197.45,331.82,0.75,0.69,48.17,17.7,31.7,"slate, phyllite"
Rukum,28.6311,82.5579,6.55,3.28,0.16,183.8,477.63,2.04,0.74,55.05,17.09,28.46,"Gneiss, migmatite"
Bajhang,29.5583,81.2003,6.16,4.13,0.22,28.28,254.78,2.07,0.66,43.53,30.87,23.53,"Gneiss, migmatite"
Doti,29.2635,80.9856,6.43,2.37,0.13,53.44,321.34,1.68,0.85,58.59,16.68,23.24,"slate, phyllite"
Kailali,28.6852,80.8808,7.28,1.91,0.1,56.32,209.78,0.63,1.15,29.12,19.77,52.55,Fluvial non calcareous
