DATE,PROVINCE,LAT,LON,PRECTOT,RH2M,T2M,T2M_MAX,T2M_MIN,WS10M
1981-01,Taplejung,27.354,87.668,0.29,68.93,1.71,12.96,-6.15,2.14
1981-02,Taplejung,27.354,87.668,0.22,54.28,4.84,15.02,-4.46,2.49
1981-03,Taplejung,27.354,87.668,0.75,56.87,7.07,17.86,-0.3,2.72
1981-04,Taplejung,27.354,87.668,1.74,59.44,10.66,20.08,1.97,2.85
1981-05,Taplejung,27.354,87.668,4.67,77.03,13.33,20.85,6.84,2.69
1981-06,Taplejung,27.354,87.668,6.25,79.71,15.91,22.57,6.81,2.81
1981-07,Taplejung,27.354,87.668,8.65,88.41,16.43,22.35,11.81,2.93
1981-08,Taplejung,27.354,87.668,7.53,90.0,16.07,22.3,11.9,2.62
1981-09,Taplejung,27.354,87.668,2.88,88.7,14.07,21.04,8.1,2.29
1981-10,Taplejung,27.354,87.668,0.16,82.22,10.84,18.15,2.69,2.21
1981-11,Taplejung,27.354,87.668,0.15,70.38,6.08,15.71,-2.03,2.14
1981-12,Taplejung,27.354,87.668,0.28,59.8,3.17,12.19,-4.73,2.06
1982-01,Taplejung,27.354,87.668,0.54,56.36,3.46,12.23,-4.7,2.13
1982-02,Taplejung,27.354,87.668,1.21,63.58,2.57,12.91,-9.18,2.47
1982-03,Taplejung,27.354,87.668,1.21,61.67,6.63,17.52,-1.56,2.72
1982-04,Taplejung,27.354,87.668,2.17,60.08,10.39,20.14,2.49,2.9
1982-05,Taplejung,27.354,87.668,0.65,57.18,13.89,22.25,4.3,2.91
1982-06,Taplejung,27.354,87.668,3.79,78.17,16.06,23.4,8.97,3.04
1982-07,Taplejung,27.354,87.668,6.99,85.85,16.25,22.49,11.58,2.96
1982-08,Taplejung,27.354,87.668,3.19,85.39,16.27,22.44,10.68,2.61
1982-09,Taplejung,27.354,87.668,3.14,85.88,14.39,21.39,6.63,2.44
1982-10,Taplejung,27.354,87.668,0.82,76.19,10.09,17.86,2.57,2.16
1982-11,Taplejung,27.354,87.668,0.13,71.05,6.09,17.19,-2.84,2.11
1982-12,Taplejung,27.354,87.668,0.01,54.93,3.45,14.13,-6.24,2.18
1983-01,Taplejung,27.354,87.668,0.02,48.11,1.03,12.53,-9.49,2.3
1983-02,Taplejung,27.354,87.668,0.04,41.19,1.88,14.3,-8.67,2.77
1983-03,Taplejung,27.354,87.668,0.14,37.24,7.21,18.31,-1.45,3.15
1983-04,Taplejung,27.354,87.668,1.43,46.67,10.2,20.7,1.57,3.08
